variable,level,theme,units,shortname,longname
p_PCROPr,Regional,Production,USD / MT,Regional Price,Corn Soy Supply Price by Region (in USD / MT)
p_PCROP,Global,Production,USD / MT,World Price ,World Corn Soy Price(in USD / MT)
p_QCRPTRADEr,Regional,Production,K MT,Net Export,Corn Soy Net Exports by Region (in 1000 MT Corn eq)
p_QCROPgl,Geospatial,Production,K MT,"Output - Grid, Type","Corn Soy Output by Grid, Type (in 1000 MT Corn eq)"
p_QCROPr,Regional,Production,K MT,Output - Region,Corn Soy Output by Region (in 1000 MT Corn eq)
p_QLANDgl,Geospatial,Land,K HA,"Land Use - Grid, Type","Cropland Area by Grid, Type (in 1000 ha)"
p_QLANDrl,Regional,Land,K HA,"Land Use - Region, Type","Cropland Area by Region, Type (in 1000 ha)"
p_QLANDr,Regional,Land,K HA,Land Use - Region,Cropland Area by Region (in 1000 ha)
p_YIELDr,Regional,Production,MT / HA,Yield - Region,Crop Yield by Region (in MT per ha)
p_QNITROgl,Geospatial,Environment,MT,"N Use - Grid, Type","Nitrogen Use by Grid, Type (in MT)"
p_QWATERg,Geospatial,Water,K m^3 / YR,Water Use - Grid,Water Use by Grid (in 1000 m^3 yr)
p_QWATERr,Regional,Water,K m^3 / YR,Water Use - Region,Water Use by Region (in 1000 m^3 yr)
p_QWATERha_r,Regional,Water,m^3 / YR / HA,Water per Ha - Region,Water per Ha by Region (in m^3 yr / ha)
